Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,OTROS,+ 1 Mbps - 6 Mbps cleaned,+ 30 Mbps cleaned,Total cleaned,Total Poblacion,porcentaje_consumo
Buenos Aires,92,86,927,831,415,157,898935,10535495,13944275,17569053,59.96620876492319
Capital Federal,1561,17,217,168,103,212,110325,3670431,4501991,3120612,117.61894782177342
Catamarca,213,1253,18,21,10,6,11171,129939,199679,429556,30.24960657050536
Chaco,1383,989,60,37,44,14,51273,218607,431829,1142963,19.12634092267204
Chubut,331,4,94,102,43,55,152880,47012,500211,603120,7.794800371402043
Corrientes,201,11,74,42,53,21,72243,155652,432421,1197553,12.997504077063812
Córdoba,298,36,358,216,90,40,479732,1846771,3068906,3978984,46.41312958282818
Entre Ríos,321,16,145,79,85,50,145922,282721,806237,1426426,19.82023603047056
Formosa,291,1162,46,19,1871,1767,71485,49058,190967,606041,8.094831867810925
Jujuy,174,5,47,111,1644,4,60734,118573,350646,797955,14.85960987775
La Pampa,437,5,29,35,16,8,186898,54256,337351,366022,14.823152706667905
La Rioja,54,2195,11,71,16,0,9597,145280,257197,384607,37.77362346499154
Mendoza,320,9,70,186,58,11,140423,366457,844270,2014533,18.190667514505844
Misiones,153,11,64,52,55,25,109537,214047,532478,1280960,16.70988945790657
Neuquén,405,1991,44,29,11,41,117167,226933,474808,726590,31.232607109924444
Río Negro,338,3,54,82,41,71,101865,122297,477696,762067,16.048064015368727
Salta,342,4,212,17,4,19,102231,243977,605233,1440672,16.93494424823971
San Juan,74,6,34,71,12,25,93065,47838,291984,818234,5.8464937902849305
San Luis,181,1256,45,32,203,58,21690,39,363655,540905,0.007210138564073173
Santa Cruz,155,20,34,35,7,1776,37400,10747,147797,333473,3.222749667889154
Santa Fe,1404,35,611,229,173,56,415039,1114410,2637148,3556522,31.334264205310692
Santiago Del Estero,534,4,180,44,2642,2376,88158,31323,353537,1054028,2.97174268615255
Tierra Del Fuego,68,2556,45,58,5,9,36903,3009,160277,190641,1.5783593245943948
Tucumán,117,6,129,69,14,834,103060,438987,763228,1703186,25.77446033492525
